('11.08', 'KAB. ACEH UTARA'),

('Baktiya', 'Keude Alue Ie Puteh'),
('Baktiya', 'Meunasah  Alue Ie Puteh'),
('Baktiya', 'Pucok Alue'),
('Baktiya', 'Alue Anoe Timu'),
('Baktiya', 'Alue Anoe Barat'),
('Baktiya', 'Pulo Seukee'),
('Baktiya', 'Alue Serdang'),
('Baktiya', 'Cot Mane'),
('Baktiya', 'Cot Kumbang'),
('Baktiya', 'Matang Kumbang'),
('Baktiya', 'Matang Kareung'),
('Baktiya', 'Cot Ulaya'),
('Baktiya', 'Alue Geudong'),
('Baktiya', 'Tanjong Glumpang'),
('Baktiya', 'Matang Raya Timu'),
('Baktiya', 'Matang Raya Barat'),
('Baktiya', 'Matang Kelayu'),
('Baktiya', 'Alue Buya'),
('Baktiya', 'Matang Cut'),
('Baktiya', 'Keude Panteu Breuh'),
('Baktiya', 'Meudang Ara'),
('Baktiya', 'Meunasah Bujok'),
('Baktiya', 'Alue Dama'),
('Baktiya', 'Cot Ara'),
('Baktiya', 'Rambong Dalam'),
('Baktiya', 'Meunasah  Geudong'),
('Baktiya', 'Alue Keutapang'),
('Baktiya', 'Krueng Lingka Barat'),
('Baktiya', 'Krueng Lingka Timu'),
('Baktiya', 'Alue Jamok'),
('Baktiya', 'Alue Bili Geulumpang'),
('Baktiya', 'Lhok Seutuy'),
('Baktiya', 'Alue Bili Rayeuk'),
('Baktiya', 'Keude Menjee IV'),
('Baktiya', 'Glumpang  Bungkok'),
('Baktiya', 'Matang Rawa'),
('Baktiya', 'Glumpang  Samlakoe'),
('Baktiya', 'Arongan Lise'),
('Baktiya', 'Matang Reudeup'),
('Baktiya', 'Matang Manyam'),
('Baktiya', 'Matang Ulim'),
('Baktiya', 'Matang Beuringen'),
('Baktiya', 'Cot Manyang'),
('Baktiya', 'Alue Ie Tarek'),
('Baktiya', 'Alue Rambong'),
('Baktiya', 'Matang Linya'),
('Baktiya', 'Matang Lawang'),
('Baktiya', 'Glumpang payong'),
('Baktiya', 'Mon Sukon'),
('Baktiya', 'Lueng Bata'),
('Baktiya', 'Ceumpeudak'),
('Baktiya', 'Buket Dara Baro'),
('Baktiya', 'Matang Pineung'),
('Baktiya', 'Matang Baro'),
('Baktiya', 'Ujong Dama'),
('Baktiya', 'Babussalam'),
('Baktiya', 'Cinta Makmur'),

('Dewantara', 'Keude Krueng Geukuh'),
('Dewantara', 'Tambon Baroh'),
('Dewantara', 'Tambon Tunong'),
('Dewantara', 'Paloh Gadeng'),
('Dewantara', 'Paloh Lada'),
('Dewantara', 'Uteun Geulinggang'),
('Dewantara', 'Pulo Rungkom'),
('Dewantara', 'Paloh Igeuh'),
('Dewantara', 'Bangka Jaya'),
('Dewantara', 'Ulee Pulo'),
('Dewantara', 'Ulee Reuleung'),
('Dewantara', 'Geulumpang  Sulu Timu'),
('Dewantara', 'Geulumpang  Sulu Barat'),
('Dewantara', 'Bluka Teubai'),
('Dewantara', 'Lancang Barat'),

('Kuta Makmur', 'Meunasah Blang Ara'),
('Kuta Makmur', 'Meunasah Buket'),
('Kuta Makmur', 'Blang Talon'),
